id,task,question_type,topic,prompt,essay,overall_band,task_response,coherence_cohesion,lexical_resource,grammatical_accuracy
W-T2-001,Task 2,opinion,technology,Some people believe that artificial intelligence will replace human teachers in the future. To what extent do you agree or disagree?,"In recent decades, artificial intelligence has made astounding progress in various sectors, leading some to argue that traditional educators will eventually become obsolete. While automated algorithms can deliver customized practice and rapid evaluations, I firmly disagree that AI can completely supplant human educators due to pedagogical empathy and critical guidance.",7.5,7.5,7.5,8.0,7.0
W-T2-002,Task 2,discussion,environment,"Some people think that environmental problems should be solved by international governments, while others think individuals should take responsibility. Discuss both views and give your opinion.","Global warming and resource depletion represent unprecedented planetary perils. Some contend that high-level interstate accords are the solely effective recourse, whereas others assert individual lifestyle reforms hold the true solution. In my perspective, meaningful ecological restoration necessitates a symbiotic union of macro-policy regulation and grassroots civic responsibility.",8.0,8.0,8.0,8.5,8.0
W-T2-003,Task 2,problem_solution,education,"In many countries, young people leave school with a lack of basic money management skills. What are the causes and what solutions can you propose?","Many students finish high school without understanding how to budget or invest savings. The primary reason is that academic curricula prioritize abstract theory over practical financial literacy. To mitigate this discrepancy, secondary institutions should integrate compulsory personal finance coursework and interactive budget simulations.",6.5,7.0,6.5,6.5,6.0
W-T2-004,Task 2,advantages_disadvantages,work,More and more companies are allowing employees to work from home. Do the advantages outweigh the disadvantages?,"The trend toward remote employment has burgeoned substantially. Employees experience diminished commuting exhaustion and superior autonomy. However, isolation and communication barriers pose hurdles. On balance, I believe the enhanced flexibility and operational savings outweigh the drawbacks if modern collaborative tooling is implemented.",7.0,7.0,7.0,7.0,7.0
W-T2-005,Task 2,opinion,health,Fast food is causing major health issues worldwide. Governments should impose a heavy tax on unhealthy food. Do you agree or disagree?,"In today world junk food is cheap and everywhere so people eat too much. I agree government must put tax because obesity is growing fast. If price go up, citizen will buy healthy fruits and vegetables instead. This will save money for hospitals.",5.5,6.0,5.0,5.5,5.0
W-T1-001,Task 1,graph_description,energy,"The line graph shows renewable energy consumption in four countries between 2000 and 2020. Summarize the information by selecting and reporting the main features, and make comparisons where relevant.","The provided line chart illustrates the trajectory of renewable power usage across four distinct nations—Germany, Sweden, China, and the United States—spanning a twenty-year epoch from 2000 to 2020. Overall, renewable consumption exhibited an upward trend in all four countries, with Sweden consistently maintaining the preeminent position throughout the period.",8.0,8.0,8.0,8.0,8.0
W-T1-002,Task 1,process_diagram,industry,The diagram illustrates the process of manufacturing recycled paper from waste paper. Summarise the information by selecting and reporting the main features.,"The schematic diagram depicts the sequential stages involved in transforming collected waste paper into usable recycled sheets. In summary, the manufacturing process encompasses seven distinct operational phases, commencing with initial sorting and culminating in the compression and roll drying of fresh paper pulp.",7.0,7.5,7.0,7.0,6.5
W-T2-006,Task 2,two_part_question,society,"Happiness is considered important by everyone, but it is difficult to define. What factors influence happiness, and why is it hard to define?","While happiness constitutes a universal human aspiration, formulating an empirical definition remains elusive. Psychological well-being is dictated by socioeconomic stability, robust interpersonal affiliations, and personal fulfillment. It proves difficult to quantify because perceptions of contentedness are inherently subjective and culturally conditioned.",8.5,8.5,8.5,9.0,8.5
W-SYN-007,Task 2,opinion,education,Analyze the socio-economic impacts of education developments in contemporary global societies.,"This essay examines the significance of education within modern contemporary communities. Evidence demonstrates that addressing education issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding education remains vital for future generations.",7.0,6.5,6.5,6.5,7.5
W-SYN-010,Task 1,process_diagram,health,Analyze the socio-economic impacts of health developments in contemporary global societies.,"This essay examines the significance of health within modern contemporary communities. Evidence demonstrates that addressing health issues demands concerted global coordination. Furthermore, recent empirical studies underline that systematic approaches produce optimal outcomes. In conclusion, cultivating sustainable initiatives regarding health remains vital for future generations.",8.0,7.5,8.0,8.5,8.0
